"","gene","freq","hgnc_symbol"
"1","ensg00000008988",1,"RPS20"
"2","ensg00000034510",1,"TMSB10"
"3","ensg00000063177",1,"RPL18"
"4","ensg00000070756",1,"PABPC1"
"5","ensg00000071082",1,"RPL31"
"6","ensg00000083845",1,"RPS5"
"7","ensg00000084207",1,"GSTP1"
"8","ensg00000087086",1,"FTL"
"9","ensg00000089157",1,"RPLP0"
"10","ensg00000096384",1,"HSP90AB1"
"11","ensg00000100097",1,"LGALS1"
"12","ensg00000103363",1,"ELOB"
"13","ensg00000105193",1,"RPS16"
"14","ensg00000105372",1,"RPS19"
"15","ensg00000108107",1,"RPL28"
"16","ensg00000108298",1,"RPL19"
"17","ensg00000109475",1,"RPL34"
"18","ensg00000110492",1,"MDK"
"19","ensg00000110700",1,"RPS13"
"20","ensg00000111640",1,"GAPDH"
"21","ensg00000111669",1,"TPI1"
"22","ensg00000111716",1,"LDHB"
"23","ensg00000112306",1,"RPS12"
"24","ensg00000112695",1,"COX7A2"
"25","ensg00000114391",1,"RPL24"
"26","ensg00000115268",1,"RPS15"
"27","ensg00000116288",1,"PARK7"
"28","ensg00000122406",1,"RPL5"
"29","ensg00000123349",1,"PFDN5"
"30","ensg00000125691",1,"RPL23"
"31","ensg00000125743",1,"SNRPD2"
"32","ensg00000126267",1,"COX6B1"
"33","ensg00000126432",1,"PRDX5"
"34","ensg00000127184",1,"COX7C"
"35","ensg00000130255",1,"RPL36"
"36","ensg00000130770",1,"ATPIF1"
"37","ensg00000131143",1,"COX4I1"
"38","ensg00000131469",1,"RPL27"
"39","ensg00000133112",1,"TPT1"
"40","ensg00000134419",1,"RPS15A"
"41","ensg00000135940",1,"COX5B"
"42","ensg00000136942",1,"RPL35"
"43","ensg00000137154",1,"RPS6"
"44","ensg00000137818",1,"RPLP1"
"45","ensg00000138326",1,"RPS24"
"46","ensg00000140264",1,"SERF2"
"47","ensg00000140988",1,"RPS2"
"48","ensg00000141552",1,"ANAPC11"
"49","ensg00000142168",1,"SOD1"
"50","ensg00000142534",1,"RPS11"
"51","ensg00000142541",1,"RPL13A"
"52","ensg00000142676",1,"RPL11"
"53","ensg00000142937",1,"RPS8"
"54","ensg00000143947",1,"RPS27A"
"55","ensg00000144713",1,"RPL32"
"56","ensg00000145592",1,"RPL37"
"57","ensg00000145741",1,"BTF3"
"58","ensg00000147677",1,"EIF3H"
"59","ensg00000149273",1,"RPS3"
"60","ensg00000149806",1,"FAU"
"61","ensg00000156467",1,"UQCRB"
"62","ensg00000156482",1,"RPL30"
"63","ensg00000161016",1,"RPL8"
"64","ensg00000161970",1,"RPL26"
"65","ensg00000162244",1,"RPL29"
"66","ensg00000164587",1,"RPS14"
"67","ensg00000164919",1,"COX6C"
"68","ensg00000166441",1,"RPL27A"
"69","ensg00000167283",1,"ATP5L"
"70","ensg00000167468",1,"GPX4"
"71","ensg00000167526",1,"RPL13"
"72","ensg00000167658",1,"EEF2"
"73","ensg00000167996",1,"FTH1"
"74","ensg00000169567",1,"HINT1"
"75","ensg00000170889",1,"RPS9"
"76","ensg00000171858",1,"RPS21"
"77","ensg00000171863",1,"RPS7"
"78","ensg00000172757",1,"CFL1"
"79","ensg00000172809",1,"RPL38"
"80","ensg00000173660",1,"UQCRH"
"81","ensg00000173915",1,"USMG5"
"82","ensg00000174444",1,"RPL4"
"83","ensg00000174748",1,"RPL15"
"84","ensg00000177410",1,"ZFAS1"
"85","ensg00000177600",1,"RPLP2"
"86","ensg00000184009",1,"ACTG1"
"87","ensg00000186468",1,"RPS23"
"88","ensg00000187514",1,"PTMA"
"89","ensg00000188846",1,"RPL14"
"90","ensg00000196531",1,"NACA"
"91","ensg00000197756",1,"RPL37A"
"92","ensg00000197956",1,"S100A6"
"93","ensg00000197958",1,"RPL12"
"94","ensg00000198034",1,"RPS4X"
"95","ensg00000198242",1,"RPL23A"
"96","ensg00000198712",1,"MT-CO2"
"97","ensg00000198727",1,"MT-CYB"
"98","ensg00000198755",1,"RPL10A"
"99","ensg00000198804",1,"MT-CO1"
"100","ensg00000198886",1,"MT-ND4"
"101","ensg00000198938",1,"MT-CO3"
"102","ensg00000204628",1,"RACK1"
"103","ensg00000213741",1,"RPS29"
"104","ensg00000221983",1,"UBA52"
"105","ensg00000231500",1,"RPS18"
"106","ensg00000251562",1,"MALAT1"
"107","ensg00000104904",0.999554565701559,"OAZ1"
"108","ensg00000118181",0.999554565701559,"RPS25"
