"","gene","freq","hgnc_symbol"
"1","ensg00000251562",0.981814969151709,"MALAT1"
"2","ensg00000137818",0.973215731892274,"RPLP1"
"3","ensg00000231500",0.95429446497725,"RPS18"
"4","ensg00000167526",0.953307908647829,"RPL13"
"5","ensg00000105372",0.930955781661832,"RPS19"
"6","ensg00000177600",0.895748972950687,"RPLP2"
"7","ensg00000198938",0.890580595762225,"MT-CO3"
"8","ensg00000161016",0.884646533064362,"RPL8"
"9","ensg00000137154",0.8813481954854,"RPS6"
"10","ensg00000164587",0.873087626816663,"RPS14"
"11","ensg00000156482",0.838484531680238,"RPL30"
"12","ensg00000034510",0.834891699674584,"TMSB10"
"13","ensg00000197956",0.833595924197135,"S100A6"
"14","ensg00000197958",0.823759810345589,"RPL12"
"15","ensg00000198712",0.82183087185075,"MT-CO2"
"16","ensg00000083845",0.81365865151002,"RPS5"
"17","ensg00000182899",0.79563559259641,"RPL35A"
"18","ensg00000142676",0.794693210430993,"RPL11"
"19","ensg00000198727",0.77029434717948,"MT-CYB"
"20","ensg00000140988",0.761003048017316,"RPS2"
"21","ensg00000198886",0.748707905702885,"MT-ND4"
"22","ensg00000112306",0.742464623856994,"RPS12"
"23","ensg00000108298",0.740682932575501,"RPL19"
"24","ensg00000197756",0.728962054393121,"RPL37A"
"25","ensg00000109475",0.707935152327242,"RPL34"
"26","ensg00000108107",0.700219398347886,"RPL28"
"27","ensg00000087086",0.696479319128885,"FTL"
"28","ensg00000134419",0.687202744688057,"RPS15A"
"29","ensg00000063177",0.686260362522639,"RPL18"
"30","ensg00000162244",0.676100304801732,"RPL29"
"31","ensg00000186468",0.674171366306893,"RPS23"
"32","ensg00000198804",0.668796843019746,"MT-CO1"
"33","ensg00000204628",0.661066364319055,"RACK1"
"34","ensg00000198034",0.660595173236347,"RPS4X"
"35","ensg00000100097",0.653880700307747,"LGALS1"
"36","ensg00000184009",0.64556123275367,"ACTG1"
"37","ensg00000166441",0.645075316949627,"RPL27A"
"38","ensg00000142541",0.64242486710939,"RPL13A"
"39","ensg00000110700",0.63760988323296,"RPS13"
"40","ensg00000136942",0.630542016992328,"RPL35"
"41","ensg00000143947",0.629953028138942,"RPS27A"
"42","ensg00000105193",0.617510638611164,"RPS16"
"43","ensg00000149273",0.617142520577798,"RPS3"
"44","ensg00000142937",0.596469011823951,"RPS8"
"45","ensg00000161970",0.595791674642557,"RPL26"
"46","ensg00000131469",0.58541074610163,"RPL27"
"47","ensg00000167996",0.583452358164122,"FTH1"
"48","ensg00000080824",0.579285262026416,"HSP90AA1"
"49","ensg00000071082",0.576045823332793,"RPL31"
"50","ensg00000138326",0.573203952115206,"RPS24"
"51","ensg00000174748",0.572158496900446,"RPL15"
"52","ensg00000008988",0.570951069751005,"RPS20"
"53","ensg00000172809",0.560776287308763,"RPL38"
"54","ensg00000122406",0.555887679825659,"RPL5"
"55","ensg00000133112",0.5466405548275,"TPT1"
"56","ensg00000089157",0.540573969637625,"RPLP0"
"57","ensg00000171863",0.539808284128223,"RPS7"
"58","ensg00000171858",0.534963850809123,"RPS21"
"59","ensg00000130255",0.531488816574146,"RPL36"
"60","ensg00000145592",0.53007524332602,"RPL37"
"61","ensg00000188846",0.525378057220267,"RPL14"
"62","ensg00000142534",0.523743613152121,"RPS11"
"63","ensg00000164032",0.518722483177006,"H2AFZ"
"64","ensg00000198242",0.518236567372962,"RPL23A"
"65","ensg00000111640",0.511139251689662,"GAPDH"
"66","ensg00000096384",0.510049622310898,"HSP90AB1"
"67","ensg00000117450",0.498490716063199,"PRDX1"
"68","ensg00000221983",0.469689161132626,"UBA52"
"69","ensg00000144713",0.467215407948405,"RPL32"
"70","ensg00000170889",0.459293507870364,"RPS9"
"71","ensg00000149806",0.458277502098273,"FAU"
"72","ensg00000187514",0.452181467465728,"PTMA"
"73","ensg00000111716",0.442625123319541,"LDHB"
"74","ensg00000131143",0.435351110980225,"COX4I1"
"75","ensg00000196531",0.431022042907838,"NACA"
"76","ensg00000163584",0.426177609588739,"RPL22L1"
"77","ensg00000130066",0.423321013649817,"SAT1"
"78","ensg00000205542",0.417902316198666,"TMSB4X"
"79","ensg00000127184",0.417563647607969,"COX7C"
"80","ensg00000115268",0.417431125115957,"RPS15"
"81","ensg00000198755",0.40872881480718,"RPL10A"
"82","ensg00000164919",0.408213449560467,"COX6C"
"83","ensg00000198763",0.407109095460368,"MT-ND2"
"84","ensg00000123416",0.406372859393636,"TUBA1B"
"85","ensg00000132475",0.405327404178876,"H3F3B"
"86","ensg00000173812",0.39552073977,"EIF1"
"87","ensg00000173660",0.390337637860203,"UQCRH"
"88","ensg00000114391",0.385787698967797,"RPL24"
"89","ensg00000125691",0.368486151399585,"RPL23"
"90","ensg00000140264",0.367573218676837,"SERF2"
"91","ensg00000118181",0.361050167125587,"RPS25"
"92","ensg00000169567",0.36074094797756,"HINT1"
"93","ensg00000125743",0.359180127516087,"SNRPD2"
"94","ensg00000167658",0.35611738547848,"EEF2"
"95","ensg00000142168",0.349756305861912,"SOD1"
"96","ensg00000198840",0.346826086316316,"MT-ND3"
"97","ensg00000198899",0.339610972862339,"MT-ATP6"
"98","ensg00000075415",0.336975247743436,"SLC25A3"
"99","ensg00000166710",0.333323516852444,"B2M"
"100","ensg00000112695",0.326918263071871,"COX7A2"
"101","ensg00000107984",0.32130814424337,"DKK1"
"102","ensg00000136810",0.320836953160661,"TXN"
"103","ensg00000156467",0.320807503717992,"UQCRB"
"104","ensg00000177410",0.318775492173811,"ZFAS1"
"105","ensg00000124172",0.313415693607998,"ATP5E"
"106","ensg00000074800",0.305552692415296,"ENO1"
"107","ensg00000084207",0.302740270640378,"GSTP1"
"108","ensg00000174444",0.297940011485283,"RPL4"
"109","ensg00000168028",0.297483545123909,"RPSA"
"110","ensg00000117632",0.2936551175769,"STMN1"
"111","ensg00000104904",0.286734498549615,"OAZ1"
"112","ensg00000111669",0.281993138279858,"TPI1"
"113","ensg00000140319",0.280918233622429,"SRP14"
"114","ensg00000189043",0.27962245814498,"NDUFA4"
"115","ensg00000213741",0.277826042142152,"RPS29"
"116","ensg00000143933",0.277516822994125,"CALM2"
"117","ensg00000161960",0.277428474666117,"EIF4A1"
"118","ensg00000070756",0.271391338918911,"PABPC1"
"119","ensg00000170315",0.270993771442875,"UBB"
"120","ensg00000145741",0.26787213051993,"BTF3"
"121","ensg00000101182",0.261113483427326,"PSMA7"
"122","ensg00000135940",0.260097477655235,"COX5B"
"123","ensg00000167468",0.25656354453492,"GPX4"
"124","ensg00000154518",0.2496282007863,"ATP5G3"
"125","ensg00000173915",0.248641644456879,"USMG5"
"126","ensg00000198888",0.247934857832816,"MT-ND1"
"127","ensg00000150991",0.247875958947477,"UBC"
"128","ensg00000198786",0.245151885500567,"MT-ND5"
"129","ensg00000148303",0.245078261893894,"RPL7A"
"130","ensg00000130770",0.244562896647181,"ATPIF1"
"131","ensg00000165502",0.242295289561645,"RPL36AL"
"132","ensg00000171345",0.240734469100172,"KRT19"
"133","ensg00000144381",0.238290165358621,"HSPD1"
"134","ensg00000132341",0.230176843903229,"RAN"
"135","ensg00000122566",0.229911798919205,"HNRNPA2B1"
"136","ensg00000167283",0.229558405607174,"ATP5L"
"137","ensg00000110955",0.228674922327095,"ATP5B"
"138","ensg00000041357",0.223594893466641,"PSMA4"
"139","ensg00000126267",0.222873382121243,"COX6B1"
"140","ensg00000123349",0.216968768866049,"PFDN5"
"141","ensg00000131174",0.215643543945931,"COX7B"
"142","ensg00000005022",0.215304875355234,"SLC25A5"
"143","ensg00000115541",0.215275425912565,"HSPE1"
"144","ensg00000135046",0.215231251748561,"ANXA1"
"145","ensg00000189159",0.215216527027226,"JPT1"
"146","ensg00000230989",0.214583364009836,"HSBP1"
"147","ensg00000180817",0.213950200992446,"PPA1"
"148","ensg00000008018",0.212330481645635,"PSMB1"
"149","ensg00000120533",0.212271582760296,"ENY2"
"150","ensg00000241837",0.211285026430875,"ATP5O"
"151","ensg00000125148",0.206720362817134,"MT2A"
"152","ensg00000147677",0.205674907602374,"EIF3H"
"153","ensg00000132507",0.204820873764964,"EIF5A"
"154","ensg00000154723",0.204011014091558,"ATP5J"
"155","ensg00000182718",0.20246491835142,"ANXA2"
"156","ensg00000100138",0.202155699203393,"SNU13"
"157","ensg00000126432",0.201183867595306,"PRDX5"
"158","ensg00000163468",0.201080794545963,"CCT3"
"159","ensg00000168653",0.200845199004609,"NDUFS5"
"160","ensg00000092841",0.199078232444451,"MYL6"
"161","ensg00000156976",0.199004608837778,"EIF4A2"
"162","ensg00000196683",0.198297822213715,"TOMM7"
"163","ensg00000187109",0.196781175916246,"NAP1L1"
"164","ensg00000104529",0.195956591521505,"EEF1D"
"165","ensg00000127540",0.195676821816147,"UQCR11"
"166","ensg00000115128",0.195352877946785,"SF3B6"
"167","ensg00000127922",0.194307422732025,"SEM1"
