"","ensembl_gene_id","mgi_symbol"
"1","ENSMUSG00000064372","mt-Tp"
"2","ENSMUSG00000064371","mt-Tt"
"3","ENSMUSG00000064370","mt-Cytb"
"4","ENSMUSG00000064369","mt-Te"
"5","ENSMUSG00000064368","mt-Nd6"
"6","ENSMUSG00000064367","mt-Nd5"
"7","ENSMUSG00000064366","mt-Tl2"
"8","ENSMUSG00000064365","mt-Ts2"
"9","ENSMUSG00000064364","mt-Th"
"10","ENSMUSG00000064363","mt-Nd4"
"11","ENSMUSG00000065947","mt-Nd4l"
"12","ENSMUSG00000064361","mt-Tr"
"13","ENSMUSG00000064360","mt-Nd3"
"14","ENSMUSG00000064359","mt-Tg"
"15","ENSMUSG00000064358","mt-Co3"
"16","ENSMUSG00000064357","mt-Atp6"
"17","ENSMUSG00000064356","mt-Atp8"
"18","ENSMUSG00000064355","mt-Tk"
"19","ENSMUSG00000064354","mt-Co2"
"20","ENSMUSG00000064353","mt-Td"
"21","ENSMUSG00000064352","mt-Ts1"
"22","ENSMUSG00000064351","mt-Co1"
"23","ENSMUSG00000064350","mt-Ty"
"24","ENSMUSG00000064349","mt-Tc"
"25","ENSMUSG00000064348","mt-Tn"
"26","ENSMUSG00000064347","mt-Ta"
"27","ENSMUSG00000064346","mt-Tw"
"28","ENSMUSG00000064345","mt-Nd2"
"29","ENSMUSG00000064344","mt-Tm"
"30","ENSMUSG00000064343","mt-Tq"
"31","ENSMUSG00000064342","mt-Ti"
"32","ENSMUSG00000064341","mt-Nd1"
"33","ENSMUSG00000064340","mt-Tl1"
"34","ENSMUSG00000064339","mt-Rnr2"
"35","ENSMUSG00000064338","mt-Tv"
"36","ENSMUSG00000064337","mt-Rnr1"
"37","ENSMUSG00000064336","mt-Tf"
"38","ENSMUSG00000031493","Ggn"
"39","ENSMUSG00000038770","Kpna7"
"40","ENSMUSG00000081574","Gm14429"
"41","ENSMUSG00000037239","Spred3"
"42","ENSMUSG00000081415","Gm15176"
"43","ENSMUSG00000082901","Gm14323"
"44","ENSMUSG00000041939","Mvk"
"45","ENSMUSG00000083636","Gm15175"
"46","ENSMUSG00000097711","Gm5523"
"47","ENSMUSG00000090674","Gm17082"
"48","ENSMUSG00000001755","Coasy"
"49","ENSMUSG00000061778","Mospd2"
"50","ENSMUSG00000066538","Gm6254"
"51","ENSMUSG00000025544","Tm9sf2"
"52","ENSMUSG00000007041","Clic1"
"53","ENSMUSG00000020794","Ube2g1"
"54","ENSMUSG00000082561","Gm15580"
"55","ENSMUSG00000010755","Cars"
"56","ENSMUSG00000032231","Anxa2"
"57","ENSMUSG00000031990","Jam3"
"58","ENSMUSG00000030990","Pgap2"
"59","ENSMUSG00000049555","Tmie"
"60","ENSMUSG00000092255","Gm20455"
"61","ENSMUSG00000086827","4930461C15Rik"
"62","ENSMUSG00000044037","Als2cl"
"63","ENSMUSG00000085837","Kcnmb4os2"
"64","ENSMUSG00000045106","Ccdc73"
"65","ENSMUSG00000027646","Src"
"66","ENSMUSG00000054934","Kcnmb4"
"67","ENSMUSG00000096708","Olfr1475"
"68","ENSMUSG00000083394","Gm11703"
"69","ENSMUSG00000084130","Gm11704"
"70","ENSMUSG00000020164","Kcnmb4os1"
"71","ENSMUSG00000086399","Gm16144"
"72","ENSMUSG00000047757","Fancb"
"73","ENSMUSG00000028581","Laptm5"
"74","ENSMUSG00000041438","Utp4"
"75","ENSMUSG00000059246","Foxb1"
"76","ENSMUSG00000027170","Eif3m"
"77","ENSMUSG00000097623","B230323A14Rik"
"78","ENSMUSG00000018589","Glra2"
"79","ENSMUSG00000008822","Acyp1"
"80","ENSMUSG00000071629","Olfr1477"
"81","ENSMUSG00000011958","Bnip2"
"82","ENSMUSG00000082934","Gm13887"
"83","ENSMUSG00000058328","Xlr5a"
"84","ENSMUSG00000079489","C030013D06Rik"
"85","ENSMUSG00000032494","Tdgf1"
"86","ENSMUSG00000021938","Pspc1"
"87","ENSMUSG00000085088","4931413K12Rik"
"88","ENSMUSG00000067768","Xlr4b"
"89","ENSMUSG00000017781","Pitpna"
"90","ENSMUSG00000003119","Cdk12"
"91","ENSMUSG00000096393","Gm590"
"92","ENSMUSG00000031441","Atp11a"
"93","ENSMUSG00000059412","Fxyd2"
"94","ENSMUSG00000021219","Rgs6"
"95","ENSMUSG00000085952","Gm12315"
"96","ENSMUSG00000032495","Lrrc2"
"97","ENSMUSG00000044712","Slc38a6"
"98","ENSMUSG00000039640","Mrpl12"
"99","ENSMUSG00000050675","Gp1ba"
"100","ENSMUSG00000055681","Cope"
"101","ENSMUSG00000081485","Gm12338"
"102","ENSMUSG00000072479","Xlr5b"
"103","ENSMUSG00000081898","Gm5754"
"104","ENSMUSG00000079566","Spin2d"
"105","ENSMUSG00000066319","Rtp3"
"106","ENSMUSG00000067771","Gm14685"
"107","ENSMUSG00000041308","Sntb2"
"108","ENSMUSG00000085465","Gm15347"
"109","ENSMUSG00000057802","Gm10030"
"110","ENSMUSG00000073125","Xlr3b"
"111","ENSMUSG00000031362","Xlr4c"
"112","ENSMUSG00000086929","Gm11788"
"113","ENSMUSG00000045064","Zc2hc1c"
"114","ENSMUSG00000025792","Slc25a10"
"115","ENSMUSG00000091455","Otogl"
"116","ENSMUSG00000031772","Cntnap4"
"117","ENSMUSG00000067764","Xlr5c"
"118","ENSMUSG00000049932","H2afx"
"119","ENSMUSG00000030062","Rpn1"
"120","ENSMUSG00000095484","Olfr1480"
"121","ENSMUSG00000081747","Rpl7a-ps9"
"122","ENSMUSG00000078317","F8a"
"123","ENSMUSG00000025586","Cpeb1"
"124","ENSMUSG00000001750","Tcirg1"
"125","ENSMUSG00000032496","Ltf"
"126","ENSMUSG00000058147","Xlr3c"
"127","ENSMUSG00000019303","Psmc3ip"
"128","ENSMUSG00000071745","DXBay18"
"129","ENSMUSG00000068264","Ap5s1"
"130","ENSMUSG00000017801","Mlx"
"131","ENSMUSG00000040697","Dnajc16"
"132","ENSMUSG00000032126","Hmbs"
"133","ENSMUSG00000084983","Gm11789"
"134","ENSMUSG00000025127","Gcgr"
"135","ENSMUSG00000043953","Ccrl2"
"136","ENSMUSG00000097529","Rp31-ps19"
"137","ENSMUSG00000000340","Dbt"
"138","ENSMUSG00000038658","Ric1"
"139","ENSMUSG00000034275","Igsf9b"
"140","ENSMUSG00000040123","Zmym5"
"141","ENSMUSG00000082394","Gm4596"
"142","ENSMUSG00000034110","Kctd7"
"143","ENSMUSG00000040533","Matn1"
"144","ENSMUSG00000033543","Gtf2a2"
"145","ENSMUSG00000032497","Lrrfip2"
"146","ENSMUSG00000027188","Pamr1"
"147","ENSMUSG00000034437","Gm9761"
"148","ENSMUSG00000084766","Gm12714"
"149","ENSMUSG00000085551","1810063I02Rik"
"150","ENSMUSG00000034551","Hdx"
"151","ENSMUSG00000085804","Gm12973"
"152","ENSMUSG00000059436","Max"
"153","ENSMUSG00000039747","Orai2"
"154","ENSMUSG00000086262","A930031H19Rik"
"155","ENSMUSG00000016481","Cr1l"
"156","ENSMUSG00000035901","Dennd5a"
"157","ENSMUSG00000021585","Cast"
"158","ENSMUSG00000037523","Mavs"
"159","ENSMUSG00000078439","Smim24"
"160","ENSMUSG00000083898","Gm7340"
"161","ENSMUSG00000031174","Rpgr"
"162","ENSMUSG00000054737","Zfp182"
"163","ENSMUSG00000081740","Gm14279"
"164","ENSMUSG00000082329","Gm14287"
"165","ENSMUSG00000087445","Gm14286"
"166","ENSMUSG00000032226","Gcnt3"
"167","ENSMUSG00000082546","Gm14898"
"168","ENSMUSG00000082752","Gm14899"
"169","ENSMUSG00000038685","Rtel1"
"170","ENSMUSG00000093673","Gm20644"
"171","ENSMUSG00000067787","Blcap"
"172","ENSMUSG00000031991","Spata19"
"173","ENSMUSG00000061111","Fam195b"
"174","ENSMUSG00000014606","Slc25a11"
"175","ENSMUSG00000067786","Nnat"
"176","ENSMUSG00000084803","5830444B04Rik"
"177","ENSMUSG00000078490","Cfap74"
"178","ENSMUSG00000020790","Ankfy1"
"179","ENSMUSG00000040746","Rnf167"
"180","ENSMUSG00000032224","Fam81a"
"181","ENSMUSG00000003464","Pex19"
"182","ENSMUSG00000032498","Mlh1"
"183","ENSMUSG00000031666","Rbl2"
"184","ENSMUSG00000033439","Trmt13"
"185","ENSMUSG00000083037","Gm14900"
"186","ENSMUSG00000079460","4933403O08Rik"
"187","ENSMUSG00000025129","Ppp1r27"
"188","ENSMUSG00000083392","Gm6335"
"189","ENSMUSG00000034555","Tex16"
"190","ENSMUSG00000018293","Pfn1"
"191","ENSMUSG00000066027","Gm10436"
"192","ENSMUSG00000082669","Gm5393"
"193","ENSMUSG00000031302","Nlgn3"
"194","ENSMUSG00000089803","Gm10171"
"195","ENSMUSG00000046785","Epm2aip1"
"196","ENSMUSG00000025130","P4hb"
"197","ENSMUSG00000027961","Lrrc39"
"198","ENSMUSG00000096056","Gm21986"
"199","ENSMUSG00000079487","Med12"
"200","ENSMUSG00000046352","Gjb2"
"201","ENSMUSG00000031667","Aktip"
"202","ENSMUSG00000027959","Sass6"
"203","ENSMUSG00000089840","Gm4491"
"204","ENSMUSG00000032087","Dscaml1"
"205","ENSMUSG00000062296","Trank1"
"206","ENSMUSG00000031802","Phxr4"
"207","ENSMUSG00000029623","Pdap1"
"208","ENSMUSG00000031925","Maml2"
"209","ENSMUSG00000032220","Myo1e"
"210","ENSMUSG00000085260","Med9os"
"211","ENSMUSG00000029622","Arpc1b"
"212","ENSMUSG00000090084","Srpx"
"213","ENSMUSG00000078531","Gm831"
"214","ENSMUSG00000097074","4833428L15Rik"
"215","ENSMUSG00000037167","Spaca5"
"216","ENSMUSG00000032500","Dclk3"
"217","ENSMUSG00000086818","Ctrcos"
"218","ENSMUSG00000058579","Cela2a"
